GeneID,Flight_01,Flight_02,Flight_04,Flight_05,Flight_06,Flight_07,Flight_08,Flight_09,Flight_10,Flight_11,Flight_12,Flight_13,Flight_14,Flight_15,Flight_16,Flight_17,Flight_18,Flight_19,Flight_20,Flight_21,Flight_22,Flight_23,Flight_24,Flight_25,Flight_26,Flight_27,Flight_28,Flight_29,Flight_30,Flight_31,Flight_32,Flight_33,Flight_34,Flight_35,Flight_36,Ground_01,Ground_02,Ground_03,Ground_04,Ground_05,Ground_06,Ground_07,Ground_08,Ground_09,Ground_10,Ground_11,Ground_12,Ground_13,Ground_14,Ground_15,Ground_16,Ground_17,Ground_18,Ground_19,Ground_20,Ground_21,Ground_22,Ground_23,Ground_24,Ground_25,Ground_26,Ground_27,Ground_28,Ground_29,Ground_30,Ground_31,Ground_32,Ground_34,Ground_35,Ground_36
Genotype,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,NahG,NahG,NahG,MM,MM,MM,NahG,NahG,NahG,MM,MM,MM,NahG,NahG,NahG,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,MM,NahG,NahG,NahG,MM,MM,MM,NahG,NahG,NahG,MM,MM,NahG,NahG,NahG
Hormonal_addition,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Mock,Mock,Mock,Mock,SA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Mock,Mock,Mock,Mock,SA,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock,Mock
Treatment,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Flight,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground
Time,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,48,48,24,24,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,48,48,24,24,48,48,48,48,48,48,48,48,48,48,48,48,48,48
