,BioMone,DrouSaTic,LighUV,Cold,Heat,FarRed,Genotoxic,Herbicide,Hypoxia,Nitrogen,Radiation,Wounding
Epidermis (trichome/pavement),1.6570576676275737,-0.40891419753903463,0.17003398688447996,-0.5350874161020873,0.0,-0.19713746909024266,0.0,0.16897497350592233,0.0,0.0,0.0,2.175290012550676
Guard cells (stomata),1.1843007829613492,-1.9730518533398307,0.0,-0.22923878529739503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366112442596165
Mesophyll (photosynthesis),-0.5059032995008823,-1.5306601626966325,0.5852644357654472,0.0,-1.0437541483533603,0.5939542925453956,0.0,0.0,-0.3914078056325101,-0.46869217628632653,0.0,0.0
Vascular tissue (phloem/xylem),0.3790856872856213,-0.8722679477288623,0.3514496376844383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07159021194603621
Trichomes (secretory),1.0909312804110312,-0.05632499116864076,0.24720922918739843,0.0,0.0,0.0,0.0,-0.05632499116864076,0.0,0.0,0.0,1.4649718293512826
Meristem (shoot apex),0.14613116486909053,0.0,-0.44077375002464836,0.0,0.0,-0.4980462286647108,0.2710102455241885,0.0,0.0,0.0,-0.10588836422439601,-0.36611244259616504
Root (stele/endodermis),-1.0181791837601015,-0.3382912896731433,0.07959795051132787,-0.3382912896731433,0.0,0.0,0.5623617953460179,0.0,0.517386678323631,-0.17909538865048766,0.5623617953460179,-0.5969846288349588
Companion cells (phloem loading),-0.6742871650218482,-0.744170319812506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07612880931815938,0.0,0.07959795051132784
Immune response hubs,-0.4389360422265092,0.40276436669771787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8112456485353596
