,Main,MM,NahG,SA,Mock
BioMone,0.6995375476466903,-0.10115762633014957,3.012656939135339,-0.09141547978179115,1.195419474133613
DrouSaTic,-0.15706379952004626,-0.6462391983466149,1.2561095748678186,-1.1930459502552897,0.5430433859110732
LighUV,-0.3330625388717782,-0.21887246812943106,-0.6629449654607812,-0.3321327289817335,-0.3493840058527735
Cold,0.24776964047784023,0.047648007784200044,0.8258988015928008,0.0,0.41026791118083933
Heat,-0.10618698877621724,-0.14294402335260015,0.0,-0.10210287382328581,-0.11262256385356374
FarRed,-0.3806973409227858,-0.18085473669462163,-0.9580204198041491,0.3652333178203606,-0.8637519249458798
FeDeficiency,0.0,0.0,0.0,0.0,0.0
Genotoxic,0.7293462209222474,0.8770218520903352,0.30272773088110516,1.242096026661542,0.3964260579446144
Herbicide,0.07079132585081149,0.09529601556840009,0.0,0.0,0.11262256385356374
Hypoxia,-0.14158265170162299,-0.14294402335260015,-0.1376498002654668,-0.2586606136856574,-0.05631128192678187
LowPH,0.0,0.0,0.0,0.0,0.0
Nitrogen,-0.10618698877621724,-0.5717760934104005,1.2388482023892011,-0.7079132585081149,0.28691938886503143
Radiation,0.8140168742242552,0.7147201167630006,1.100874173556769,0.8236298488411722,0.7828654868550684
Wounding,-0.2321823367040362,-0.39532042739357226,0.23910548084351185,-1.0792600822247056,0.2828382562697726
Drought.Light,0.0,0.0,0.0,0.0,0.0
