OSD,APH,pearson_r,p,spearman
OSD_Main,APH_Main,-0.491,0.063,-0.407
OSD_Main,APH_MM,-0.646,0.0092,-0.466
OSD_Main,APH_NahG,0.027,0.9245,0.167
OSD_Main,APH_SA,-0.753,0.0012,-0.33
OSD_Main,APH_Mock,-0.005,0.9846,0.124
OSD_Red,APH_Main,-0.054,0.8484,-0.033
OSD_Red,APH_MM,-0.433,0.1067,-0.393
OSD_Red,APH_NahG,0.442,0.0991,0.599
OSD_Red,APH_SA,-0.479,0.0705,-0.586
OSD_Red,APH_Mock,0.338,0.2175,0.552
OSD_Blue,APH_Main,-0.531,0.0416,-0.447
OSD_Blue,APH_MM,-0.278,0.3166,-0.223
OSD_Blue,APH_NahG,-0.482,0.0688,-0.214
OSD_Blue,APH_SA,-0.353,0.1965,-0.083
OSD_Blue,APH_Mock,-0.4,0.1394,-0.183
