,osd767_lfc,aph_lfc
Solyc00g019950,-0.272892282442376,1.6065921635244105
Solyc00g020040,-1.44399132838911,2.360598720129298
Solyc00g021630,-0.54927445517453,2.323041559946483
Solyc00g021640,-1.07365646590589,1.89887904714784
Solyc00g028960,0.0748920786343226,0.4566738597941179
Solyc00g094530,-0.954090566858345,1.335140724375062
Solyc00g217960,-0.134751955608156,0.0243882522804674
Solyc01g005000,-0.128152609683437,0.2304412072479541
Solyc01g005010,0.0314696046222292,0.4687299291563649
Solyc01g005020,-0.19675262032227,-0.1863447493999641
Solyc01g005030,-0.293669115589965,-0.1205950063177876
Solyc01g005060,0.0666317873170754,0.3606415523755151
Solyc01g005080,-0.0099295736416029,-0.1676098338241131
Solyc01g005100,-0.0759385810599708,-0.0788773394029338
Solyc01g005110,-0.0438411109235755,0.0961387331178551
Solyc01g005120,-0.0779954899037028,0.0562985080331828
Solyc01g005130,-0.191319119503879,0.1503631423020007
Solyc01g005160,-0.45514652058935,0.0263039108469567
Solyc01g005210,-0.146489292166,0.0174855501595035
Solyc01g005220,0.0340259333622971,-0.6415488763862074
Solyc01g005230,0.0058021993460834,0.5245423149013531
Solyc01g005240,0.0620183562183893,-0.0899124195934067
Solyc01g005250,0.212306385830838,0.0256884726943705
Solyc01g005280,0.0108636218399975,0.1581123478321551
Solyc01g005340,0.278973107163934,-0.1772826597720141
Solyc01g005370,0.274277584591051,0.1416714647535688
Solyc01g005380,0.0019038694168957,0.1018070216473556
Solyc01g005390,0.981575994969932,-0.2020383928669491
Solyc01g005400,-0.168045300639214,-0.4194354825806111
Solyc01g005410,-0.0511239973055733,0.4059058784570452
Solyc01g005420,-0.172470122863033,-0.5353605447269926
Solyc01g005430,-0.200205826451061,-0.0602597236175279
Solyc01g005440,0.828595004043541,0.347471262198856
Solyc01g005460,0.442875529529703,0.5377263943631765
Solyc01g005470,1.74992020771044,-0.2500072315629177
Solyc01g005480,0.886653043641951,-0.1327814578074335
Solyc01g005490,0.0369357704895565,0.009715860158176
Solyc01g005520,-0.37972901538371,-0.0739983217987848
Solyc01g005530,0.148261136441767,-0.1464894383642672
Solyc01g005540,-0.0728432375792692,0.028942771086469
Solyc01g005550,-0.0132465956688646,0.1416230928833537
Solyc01g005560,-0.113683594952484,-0.2049507557708002
Solyc01g005570,0.155421365129012,0.048552580650961
Solyc01g005590,0.0406349868746648,-0.2530588750207752
Solyc01g005600,-0.113654876423652,0.0268378095724623
Solyc01g005620,0.133652765744822,0.054484847618781
Solyc01g005640,-0.0672069225609628,0.1741100335426066
Solyc01g005670,0.145238451376146,-0.093101224855756
Solyc01g005680,0.457450029371483,0.120977457028754
Solyc01g005690,0.301780555480697,-0.2686408917681308
Solyc01g005710,0.0614287822176413,-0.2007859638711083
Solyc01g005730,-0.128200575706083,-0.378018270944489
Solyc01g005770,-0.0629054648822932,0.3583533631692785
Solyc01g005790,0.260298518266215,-0.0350414984177766
Solyc01g005800,-0.240879156230168,0.2508268847140611
Solyc01g005810,0.23741374237553,0.2418116875734996
Solyc01g005820,0.194796816695674,0.3595377083469266
Solyc01g005830,-0.145408502391724,0.0094426927357444
Solyc01g005840,-0.148611137792791,0.1147904308894564
Solyc01g005850,0.0090376500748549,-0.1508218266646265
Solyc01g005880,0.0203293507199908,-0.4501267038791504
Solyc01g005910,-0.0609724847015877,-0.0353836922508085
Solyc01g005930,0.0405209524164278,0.1038748627586822
Solyc01g005950,0.0435960422887534,0.0295141683181715
Solyc01g005960,0.0307596179668164,0.0345054585635064
Solyc01g005970,0.0827274428827223,-0.0694555761628881
Solyc01g005980,0.110195020785778,0.1622548559733717
Solyc01g006000,0.0593140015793367,-0.1546174477499175
Solyc01g006010,-0.0523660055766679,-0.2002489542806758
Solyc01g006040,0.0087421261001259,-0.1834199334915884
Solyc01g006090,0.326246971024789,0.5780266301228603
Solyc01g006100,0.269325486449824,0.2594179633896619
Solyc01g006110,0.0333692760612809,0.1255772105835848
Solyc01g006120,0.368739390375772,-0.1778362043433288
Solyc01g006140,0.0701098924858321,0.1670637616906206
Solyc01g006150,-0.162644914880505,-0.200403967685821
Solyc01g006160,-0.0353676429422927,0.4481151971188006
Solyc01g006170,0.194504006024006,0.3064540547959798
Solyc01g006180,0.0871101820528869,0.1089635607303081
Solyc01g006190,0.0631557141557049,0.1456951301231423
Solyc01g006200,0.207710943025165,0.2891012272863653
Solyc01g006210,0.0799953212604222,0.2524930817269695
Solyc01g006220,0.0409555766838258,0.1221823116622638
Solyc01g006230,-0.101448743276668,-0.0286673736528011
Solyc01g006240,0.0033451015289533,0.4443797955092681
Solyc01g006250,0.173588655702082,0.1408210112465588
Solyc01g006260,0.127422165759268,0.3318793367982767
Solyc01g006280,-0.0135115891500756,-0.1192733410799364
Solyc01g006300,0.187564310240006,-0.6922293215245404
Solyc01g006320,0.0693860557377585,-0.0044649771154922
Solyc01g006340,-0.191019178564281,-0.2159484977874208
Solyc01g006350,-0.0050565875665822,-0.1726326037947521
Solyc01g006360,-0.0248733150758082,-0.5385139206731966
Solyc01g006370,0.116770448321495,-0.1447782076142946
Solyc01g006380,0.0187236782739976,0.2626465435862061
Solyc01g006390,0.862057630268138,1.279682823949057
Solyc01g006400,0.71930539852346,0.3580995349188638
Solyc01g006430,0.37098562828077,0.0242643355186209
Solyc01g006480,-0.0043396498558306,0.1473141366483666
Solyc01g006500,-0.0734863655897787,0.088593938403076
Solyc01g006510,-0.172577883437745,-0.1229512204425935
Solyc01g006540,0.0198930768982352,-0.4916336233959596
Solyc01g006580,-0.878506759540728,-0.1330506291105063
Solyc01g006630,0.24163471419682,0.134524745191283
Solyc01g006650,0.356037461689988,-0.4931709881144268
Solyc01g006660,-0.0241593806189289,-0.0236255646154589
Solyc01g006700,-0.107861505314885,-0.0133716935411401
Solyc01g006710,-0.0399838698488015,-0.1042671009730753
Solyc01g006720,-0.780843425502242,0.1429747172311695
Solyc01g006740,0.012822161290215,0.120899057774121
Solyc01g006800,-0.0121310946684326,0.0950452075181665
Solyc01g006810,0.462911410578324,-0.0329147687522876
Solyc01g006820,0.160743209791132,0.1528923012858709
Solyc01g006830,0.0472615073893529,-0.1045346738726613
Solyc01g006850,-0.0226184818507906,-0.0263454025673412
Solyc01g006870,-0.134960654101202,-0.0669704864979704
Solyc01g006880,-0.0627547157102041,-0.288708953828793
Solyc01g006890,0.334354032403255,-0.1082925403300581
Solyc01g006900,0.116795592482691,0.2866480670474404
Solyc01g006920,0.0618157314211952,-0.1679180076565803
Solyc01g006930,0.181607490829749,0.2189288111547634
Solyc01g006940,-0.100857008673614,0.1462398884710699
Solyc01g006950,-0.338820430846962,-1.5562100299829378
Solyc01g006960,0.0386998123372836,-0.2402655163587419
Solyc01g006970,0.0857350094411986,-0.0085281377088975
Solyc01g006980,0.0296135774818085,0.0365189138409472
Solyc01g006990,0.166267374714728,-0.113583352292363
Solyc01g007010,-0.102341066117004,0.2097362277088751
Solyc01g007030,-0.189155130211663,0.5401334584968123
Solyc01g007040,-0.186547362324241,1.1911840696432987
