,OSD_Main,OSD_Red,OSD_Blue,APH_Main,APH_MM,APH_NahG,APH_SA,APH_Mock
BioMone,-0.24700287942193466,0.5539912146567273,-1.0289205318163397,0.6995375476466903,-0.10115762633014952,3.012656939135339,-0.09141547978179115,1.195419474133613
DrouSaTic,0.8715470080709984,0.7207288151708866,1.05066200309943,-0.15706379952004632,-0.6462391983466149,1.2561095748678188,-1.1930459502552897,0.543043385911073
LighUV,-0.2578581864892712,-2.2020783639968844,1.790637999760579,-0.3330625388717782,-0.21887246812943104,-0.6629449654607812,-0.33213272898173346,-0.34938400585277335
Cold,0.19026768329358132,0.19026768329358132,0.19026768329358132,0.24776964047784023,0.047648007784200044,0.8258988015928007,0.0,0.41026791118083933
Heat,0.0,0.0,0.0,-0.10618698877621724,-0.14294402335260015,0.0,-0.10210287382328581,-0.11262256385356374
FarRed,0.2579792577990043,-0.19026768329358132,0.7231540925179458,-0.3806973409227858,-0.18085473669462163,-0.9580204198041489,0.3652333178203606,-0.8637519249458798
FeDeficiency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genotoxic,-0.761070733174325,-1.8177089860924351,0.2194604464263521,0.7293462209222475,0.8770218520903353,0.30272773088110516,1.242096026661542,0.3964260579446144
Herbicide,0.0,0.0,0.0,0.07079132585081149,0.09529601556840009,0.0,0.0,0.11262256385356374
Hypoxia,0.06342256109786046,0.5708030498807439,-0.4756692082339533,-0.14158265170162299,-0.14294402335260015,-0.1376498002654668,-0.2586606136856574,-0.05631128192678187
LowPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitrogen,0.15447325659117897,0.430266008498987,-0.19026768329358132,-0.10618698877621724,-0.5717760934104005,1.2388482023892011,-0.7079132585081149,0.28691938886503143
Radiation,0.09513384164679066,0.19026768329358132,0.0,0.8140168742242553,0.7147201167630006,1.1008741735567689,0.8236298488411722,0.7828654868550684
Wounding,1.0378671023393644,0.613601731506539,1.5598382411509648,-0.2321823367040362,-0.39532042739357204,0.23910548084351185,-1.0792600822247056,0.2828382562697726
Drought.Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
